y	x1	x2
4.0	3.8331	3.8287
3.0	3.34975	3.34982
3.0	3.76655	3.75992
4.0	3.78662	3.78781
4.0	4.04563	4.02998
4.0	4.21979	4.24456
3.0	4.00152	3.98986
3.0	3.57585	3.57031
4.0	4.30309	4.2931
4.0	3.75314	3.70682
4.0	4.094	4.08386
4.0	3.88628	3.90885
4.0	4.21976	4.24491
3.0	2.97405	2.95027
2.0	2.66825	2.68163
4.0	4.11828	4.11578
4.0	3.95671	3.93031
4.0	4.12692	4.16798
5.0	4.12497	4.15611
5.0	4.52814	4.48499
3.0	3.006	3.01965
4.0	3.9322	3.92476
4.0	3.87789	3.87093
3.0	3.00545	3.00332
4.0	3.70611	3.70911
4.0	3.36258	3.3625
2.0	3.55596	3.56756
4.0	4.07917	4.08438
5.0	3.70613	3.68219
4.0	4.14635	4.13137
4.0	4.23512	4.23787
3.0	3.38143	3.41379
4.0	3.59321	3.58679
4.0	3.55703	3.55509
4.0	3.67629	3.69079
4.0	3.62743	3.61868
3.0	3.63875	3.65292
3.0	3.62757	3.65847
4.0	4.38074	4.3795
4.0	4.05305	3.99084
4.0	3.76202	3.76822
3.0	3.56583	3.56872
4.0	3.69929	3.69586
3.0	2.98808	2.95632
2.0	2.90638	2.90816
3.0	2.2875	2.28672
3.0	3.15079	3.16795
4.0	4.25822	4.2452
4.0	4.05264	4.01203
4.0	3.82803	3.85689
3.0	2.55193	2.57822
1.0	3.3443	3.30628
3.0	3.36358	3.4051
4.0	3.99177	3.95943
3.0	2.68878	2.69433
4.0	3.27968	3.23367
4.0	3.64109	3.65859
5.0	3.96886	3.97681
4.0	4.07337	4.05867
3.0	2.98478	2.97921
3.0	3.0761	3.06948
5.0	4.20053	4.23019
4.0	4.0225	4.0513
4.0	3.7652	3.72559
3.0	2.90988	2.91237
3.0	3.38791	3.41987
5.0	4.0456	4.04535
4.0	4.16971	4.17672
4.0	4.13201	4.13794
4.0	3.82716	3.82687
1.0	2.99662	2.95813
4.0	3.82348	3.8043
4.0	3.72899	3.75006
4.0	3.19806	3.20749
4.0	3.03941	3.00852
5.0	3.68344	3.69189
3.0	3.60048	3.56212
3.0	2.98287	2.9884
4.0	3.72546	3.72394
4.0	3.91159	3.86063
3.0	3.43098	3.43694
3.0	3.01447	2.98265
4.0	3.53144	3.51267
3.0	3.67793	3.6536
3.0	3.51854	3.54216
4.0	4.35444	4.36274
4.0	3.50755	3.50186
3.0	3.72838	3.73167
4.0	4.01495	3.99501
3.0	2.85916	2.87625
3.0	3.84251	3.85675
4.0	3.03697	3.02553
4.0	4.08401	4.08763
4.0	3.81131	3.83133
4.0	3.05858	3.05968
3.0	3.97967	3.93391
3.0	2.98173	2.96802
4.0	4.15639	4.17003
5.0	3.76976	3.7646
4.0	4.57744	4.56448
3.0	3.3108	3.31697
4.0	4.05514	4.06464
4.0	3.46058	3.47231
4.0	3.67689	3.68755
3.0	3.18258	3.18841
2.0	3.00281	3.03434
4.0	3.45058	3.4771
4.0	3.95898	3.96858
3.0	3.6091	3.59362
4.0	3.96317	3.87817
5.0	4.02477	4.02601
4.0	3.8863	3.89283
5.0	3.89693	3.88164
4.0	3.69024	3.70874
4.0	3.16963	3.2029
4.0	3.81396	3.80036
4.0	3.19574	3.14283
5.0	3.96631	3.97609
3.0	3.00882	3.0216
3.0	2.73464	2.71913
4.0	3.92167	3.92029
5.0	3.98822	3.96792
3.0	3.12894	3.14605
4.0	4.01605	4.00404
4.0	4.02229	4.04158
3.0	3.30432	3.33159
5.0	4.19088	4.16087
3.0	2.51105	2.4746
2.0	3.07768	3.07226
4.0	3.9878	4.03667
4.0	4.71407	4.74372
4.0	3.56355	3.53599
2.0	3.96795	4.00077
4.0	4.47821	4.46515
5.0	4.48401	4.48103
3.0	3.47975	3.45791
4.0	3.88904	3.89539
4.0	3.60923	3.60809
4.0	3.93907	3.95541
2.0	2.50907	2.49567
4.0	4.02821	4.03581
3.0	3.88384	3.89407
3.0	3.36571	3.37436
4.0	3.581	3.59875
4.0	3.87217	3.88755
4.0	3.9359	3.94639
3.0	3.58687	3.59907
5.0	4.21535	4.19513
4.0	4.01231	3.99336
4.0	4.08168	4.06947
3.0	3.49083	3.48818
